Fecha;Hora;name;stationId;Humedad;Vel Viento;Rad Solar;Presion Baro;Lluvia;Temperatura 8M;Dir Viento;Temperatura
2026-01-05;12:26;Colina;38;;1.8;93.0;563.0;0.0;;169.0;16.5
2026-01-05;12:26;Movil Fontibon;39;;;833.0;565.0;;;;17.8
2026-01-05;13:39;Usaquen;1;;1.0;;;2.6;;187.0;16.6
2026-01-05;13:39;Carvajal - Sevillana;3;;1.6;;;0.0;;243.0;11.9
2026-01-05;13:39;Tunal;4;50.0;3.3;611.0;563.0;0.0;;281.0;
2026-01-05;13:39;Centro de Alto Rendimiento;5;56.0;3.1;330.0;565.0;0.0;;293.0;20.1
2026-01-05;13:39;Las Ferias;6;54.0;3.4;;563.0;0.0;;219.0;19.2
2026-01-05;13:39;Guaymaral;8;56.0;1.7;26.0;563.0;1.5;16.8;307.0;17.5
2026-01-05;13:39;Kennedy;9;58.8;3.6;814.0;;0.0;;288.0;
2026-01-05;13:39;Suba;11;;2.3;;;0.0;;240.0;22.1
2026-01-05;13:39;Puente Aranda;13;65.0;3.3;769.0;563.0;0.0;;254.0;18.8
2026-01-05;13:39;MinAmbiente;17;;-9999.0;;;0.0;;-9999.0;
2026-01-05;13:39;San Cristobal;24;60.0;1.2;142.0;;0.0;;91.0;17.4
2026-01-05;13:39;Movil 7ma;26;49.8;0.4;290.0;562.0;0.0;;299.0;20.2
2026-01-05;13:39;Bolivia;27;68.0;3.3;613.0;564.0;0.0;;267.0;18.6
2026-01-05;13:39;Fontibon;30;62.0;6.4;;564.0;0.0;;250.0;18.4
2026-01-05;13:39;Usme;32;;;488.0;562.0;0.0;;;19.3
2026-01-05;13:39;Jazmin;34;60.0;3.0;715.0;563.0;0.0;;282.0;19.6
2026-01-05;13:39;Ciudad Bolivar;37;;;629.0;557.0;0.0;;;17.6
2026-01-05;13:39;Colina;38;;1.8;93.0;563.0;0.0;;169.0;16.5
2026-01-05;13:39;Movil Fontibon;39;;;903.0;564.0;;;;18.7
2026-01-05;14:24;Usaquen;1;;1.3;;;12.1;;77.0;13.3
2026-01-05;14:24;Carvajal - Sevillana;3;;1.6;;;0.0;;243.0;11.9
2026-01-05;14:24;Tunal;4;60.0;4.3;178.0;562.0;0.0;;279.0;
