Fecha;Hora;name;stationId;Vel Viento;Rad Solar;Presion Baro;Lluvia;Temperatura 8M;Dir Viento;Temperatura;Humedad
2025-10-27;09:25;Movil Fontibon;39;;596.0;565.0;;;;16.4;
2025-10-27;10:25;Usaquen;1;1.6;;;0.0;;167.0;18.6;
2025-10-27;10:25;Carvajal - Sevillana;3;2.3;;;0.0;;252.0;20.6;
2025-10-27;10:25;Tunal;4;1.4;481.0;563.0;0.0;;201.0;;45.0
2025-10-27;10:25;Centro de Alto Rendimiento;5;2.1;471.0;565.0;0.0;;87.0;18.2;48.0
2025-10-27;10:25;Las Ferias;6;2.8;;564.0;0.0;;48.0;19.1;48.0
2025-10-27;10:25;Guaymaral;8;1.7;262.0;564.0;0.0;17.8;344.0;19.2;55.0
2025-10-27;10:25;Kennedy;9;1.3;439.0;;0.0;;87.0;;53.2
2025-10-27;10:25;Suba;11;1.7;;;0.0;;353.0;19.7;
2025-10-27;10:25;Puente Aranda;13;1.6;447.0;564.0;0.0;;77.0;18.6;56.0
2025-10-27;10:25;MinAmbiente;17;-9999.0;;;0.0;;-9999.0;;
2025-10-27;10:25;San Cristobal;24;2.2;359.0;;0.0;;102.0;17.4;53.0
2025-10-27;10:25;Movil 7ma;26;0.4;374.0;562.0;0.0;;117.0;19.5;45.8
2025-10-27;10:25;Bolivia;27;2.3;462.0;565.0;0.0;;261.0;17.7;72.0
2025-10-27;10:25;Fontibon;30;1.2;;565.0;0.0;;359.0;18.1;56.0
2025-10-27;10:25;Usme;32;;560.0;562.0;0.0;;;18.5;
2025-10-27;10:25;Jazmin;34;1.1;716.0;564.0;0.0;;157.0;18.1;57.0
2025-10-27;10:25;Ciudad Bolivar;37;;664.0;558.0;0.0;;;17.9;
2025-10-27;10:25;Colina;38;0.9;53.0;562.0;0.3;;271.0;14.8;
2025-10-27;10:25;Movil Fontibon;39;;497.0;565.0;;;;18.0;
2025-10-27;11:31;Usaquen;1;1.7;;;0.0;;145.0;19.9;
2025-10-27;11:31;Carvajal - Sevillana;3;2.3;;;0.0;;258.0;21.2;
