Fecha;Hora;name;stationId;Temperatura;Dir Viento;Temperatura 8M;Presion Baro;Lluvia;Vel Viento;Rad Solar;Humedad
2025-12-07;14:18;MinAmbiente;17;;-9999.0;;;0.0;-9999.0;;
2025-12-07;14:18;San Cristobal;24;19.7;282.0;;;0.0;1.6;223.0;50.0
2025-12-07;14:18;Movil 7ma;26;23.6;312.0;;561.0;0.0;1.4;826.0;38.5
2025-12-07;14:18;Bolivia;27;18.8;284.0;;564.0;0.0;3.3;552.0;67.0
2025-12-07;14:18;Fontibon;30;19.5;257.0;;563.0;0.0;6.4;;55.0
2025-12-07;14:18;Usme;32;19.9;;;561.0;0.0;;484.0;
2025-12-07;14:18;Jazmin;34;19.7;273.0;;563.0;0.0;3.5;543.0;54.0
2025-12-07;14:18;Ciudad Bolivar;37;18.0;;;557.0;0.0;;665.0;
2025-12-07;14:18;Colina;38;14.8;271.0;;562.0;0.3;0.9;53.0;
2025-12-07;14:18;Movil Fontibon;39;12.3;;;564.0;;;1.0;
2025-12-07;15:26;Usaquen;1;14.8;28.0;;;0.7;1.8;;
2025-12-07;15:26;Carvajal - Sevillana;3;22.6;15.0;;;0.0;4.5;;
2025-12-07;15:26;Tunal;4;;277.0;;562.0;0.0;4.0;654.0;50.0
2025-12-07;15:26;Centro de Alto Rendimiento;5;19.5;313.0;;563.0;0.1;5.4;183.0;57.0
2025-12-07;15:26;Las Ferias;6;18.1;287.0;;562.0;0.0;2.7;;55.0
2025-12-07;15:26;Guaymaral;8;15.8;209.0;15.5;563.0;0.1;1.4;78.0;66.0
2025-12-07;15:26;Kennedy;9;;288.0;;;0.0;3.9;678.0;52.8
2025-12-07;15:26;Suba;11;15.5;263.0;;;1.0;0.8;;
2025-12-07;15:26;Puente Aranda;13;19.3;255.0;;562.0;0.0;4.1;539.0;59.0
2025-12-07;15:26;MinAmbiente;17;;-9999.0;;;0.0;-9999.0;;
2025-12-07;15:26;San Cristobal;24;20.2;284.0;;;0.0;1.8;340.0;50.0
2025-12-07;15:26;Movil 7ma;26;21.5;124.0;;561.0;0.0;0.4;124.0;45.0
2025-12-07;15:26;Bolivia;27;17.5;316.0;;563.0;0.0;3.5;214.0;72.0
2025-12-07;15:26;Fontibon;30;18.8;265.0;;563.0;0.0;6.4;;54.0
2025-12-07;15:26;Usme;32;20.1;;;561.0;0.0;;469.0;
2025-12-07;15:26;Jazmin;34;20.0;278.0;;562.0;0.0;4.0;725.0;54.0
2025-12-07;15:26;Ciudad Bolivar;37;17.7;;;556.0;0.0;;529.0;
2025-12-07;15:26;Colina;38;14.8;271.0;;562.0;0.3;0.9;53.0;
2025-12-07;15:26;Movil Fontibon;39;12.3;;;564.0;;;1.0;
