Fecha;Hora;name;stationId;Humedad;Temperatura 8M;Rad Solar;Presion Baro;Temperatura;Vel Viento;Lluvia;Dir Viento
2025-11-25;07:52;Bolivia;27;84.0;;114.0;564.0;13.7;1.3;0.0;73.0
2025-11-25;07:52;Fontibon;30;83.0;;;564.0;13.7;0.6;0.0;60.0
2025-11-25;07:52;Usme;32;;;44.0;562.0;13.9;;0.0;
2025-11-25;07:52;Jazmin;34;83.0;;44.0;564.0;14.5;0.4;0.0;319.0
2025-11-25;07:52;Ciudad Bolivar;37;;;33.0;557.0;13.8;;0.0;
2025-11-25;07:52;Colina;38;;;53.0;562.0;14.8;0.9;0.3;271.0
2025-11-25;07:52;Movil Fontibon;39;;;79.0;564.0;13.8;;;
2025-11-25;08:37;Usaquen;1;;;;;14.0;1.5;0.0;3.0
2025-11-25;08:37;Carvajal - Sevillana;3;;;;;16.4;0.6;0.0;169.0
2025-11-25;08:37;Tunal;4;77.0;;138.0;563.0;;0.7;0.0;262.0
2025-11-25;08:37;Centro de Alto Rendimiento;5;70.0;;181.0;565.0;15.1;1.0;0.0;317.0
2025-11-25;08:37;Las Ferias;6;66.0;;;564.0;15.4;1.3;0.0;18.0
2025-11-25;08:37;Guaymaral;8;74.0;16.4;204.0;564.0;17.3;0.9;0.0;67.0
2025-11-25;08:37;Kennedy;9;82.8;;60.0;;;1.0;0.0;78.0
2025-11-25;08:37;Suba;11;;;;;14.1;1.2;0.0;34.0
2025-11-25;08:37;Puente Aranda;13;76.0;;251.0;564.0;16.4;1.0;0.0;121.0
2025-11-25;08:37;MinAmbiente;17;;;;;;-9999.0;0.0;-9999.0
2025-11-25;08:37;San Cristobal;24;74.0;;115.0;;14.2;0.4;0.0;337.0
2025-11-25;08:37;Movil 7ma;26;64.7;;173.0;562.0;10.1;0.1;0.0;313.0
2025-11-25;08:37;Bolivia;27;79.0;;300.0;565.0;14.8;1.4;0.0;66.0
2025-11-25;08:37;Fontibon;30;74.0;;;564.0;15.3;0.7;0.0;41.0
2025-11-25;08:37;Usme;32;;;163.0;562.0;15.4;;0.0;
2025-11-25;08:37;Jazmin;34;76.0;;318.0;564.0;16.3;0.6;0.0;152.0
2025-11-25;08:37;Ciudad Bolivar;37;;;187.0;557.0;14.5;;0.0;
2025-11-25;08:37;Colina;38;;;53.0;562.0;14.8;0.9;0.3;271.0
2025-11-25;08:37;Movil Fontibon;39;;;192.0;565.0;15.0;;;
2025-11-25;09:25;Usaquen;1;;;;;16.7;0.7;0.0;41.0
2025-11-25;09:25;Carvajal - Sevillana;3;;;;;18.6;1.9;0.0;232.0
2025-11-25;09:25;Tunal;4;63.0;;524.0;563.0;;1.2;0.0;171.0
2025-11-25;09:25;Centro de Alto Rendimiento;5;55.0;;374.0;565.0;17.6;0.5;0.0;325.0
