Fecha;Hora;name;stationId;Rad Solar;Temperatura;Lluvia;Temperatura 8M;Dir Viento;Presion Baro;Vel Viento;Humedad
2025-12-30;09:26;Movil 7ma;26;186.0;14.8;0.2;;295.0;563.0;0.4;68.8
2025-12-30;09:26;Bolivia;27;199.0;15.0;0.0;;113.0;566.0;1.8;76.0
2025-12-30;09:26;Fontibon;30;;14.7;0.0;;112.0;565.0;2.3;74.0
2025-12-30;09:26;Usme;32;155.0;15.0;0.0;;;563.0;;
2025-12-30;09:26;Jazmin;34;227.0;15.0;0.0;;115.0;565.0;1.3;82.0
2025-12-30;09:26;Ciudad Bolivar;37;169.0;13.8;0.0;;;558.0;;
2025-12-30;09:26;Colina;38;53.0;14.8;0.3;;271.0;562.0;0.9;
2025-12-30;09:26;Movil Fontibon;39;229.0;15.1;;;;566.0;;
2025-12-30;10:27;Usaquen;1;;15.8;0.0;;184.0;;1.8;
2025-12-30;10:27;Carvajal - Sevillana;3;;11.9;0.0;;243.0;;1.6;
2025-12-30;10:27;Tunal;4;307.0;;0.0;;188.0;564.0;1.5;64.0
2025-12-30;10:27;Centro de Alto Rendimiento;5;378.0;18.1;0.0;;189.0;566.0;2.4;58.0
2025-12-30;10:27;Las Ferias;6;;18.7;0.0;;80.0;565.0;1.9;51.0
2025-12-30;10:27;Guaymaral;8;209.0;17.1;0.0;15.8;68.0;565.0;2.3;59.0
2025-12-30;10:27;Kennedy;9;308.0;;0.0;;198.0;;1.5;64.4
2025-12-30;10:27;Suba;11;;17.7;0.0;;63.0;;1.8;
2025-12-30;10:27;Puente Aranda;13;356.0;16.1;0.0;;150.0;565.0;2.4;72.0
2025-12-30;10:27;MinAmbiente;17;;;0.0;;-9999.0;;-9999.0;
2025-12-30;10:27;San Cristobal;24;293.0;15.4;0.0;;131.0;;1.5;64.0
2025-12-30;10:27;Movil 7ma;26;334.0;17.4;0.0;;319.0;563.0;0.7;56.7
2025-12-30;10:27;Bolivia;27;396.0;16.6;0.0;;134.0;566.0;2.6;68.0
2025-12-30;10:27;Fontibon;30;;16.5;0.0;;153.0;566.0;2.8;63.0
2025-12-30;10:27;Usme;32;213.0;15.5;0.0;;;563.0;;
2025-12-30;10:27;Jazmin;34;449.0;16.7;0.0;;135.0;565.0;2.7;64.0
2025-12-30;10:27;Ciudad Bolivar;37;295.0;15.0;0.0;;;559.0;;
2025-12-30;10:27;Colina;38;53.0;14.8;0.3;;271.0;562.0;0.9;
2025-12-30;10:27;Movil Fontibon;39;421.0;16.9;;;;566.0;;
2025-12-30;11:34;Usaquen;1;;16.2;0.0;;194.0;;1.4;
2025-12-30;11:34;Carvajal - Sevillana;3;;11.9;0.0;;243.0;;1.6;
2025-12-30;11:34;Tunal;4;575.0;;0.0;;170.0;564.0;1.9;53.0
2025-12-30;11:34;Centro de Alto Rendimiento;5;400.0;18.6;0.0;;155.0;566.0;2.7;55.0
2025-12-30;11:34;Las Ferias;6;;17.4;0.0;;51.0;565.0;3.5;56.0
