Fecha;Hora;name;stationId;Temperatura 8M;Humedad;Vel Viento;Dir Viento;Lluvia;Temperatura;Presion Baro;Rad Solar
2025-10-14;13:33;Colina;38;;;1.5;159.0;0.0;16.0;564.0;230.0
2025-10-14;13:33;Movil Fontibon;39;;;;;;17.6;564.0;719.0
2025-10-14;14:18;Usaquen;1;;;1.9;160.0;0.0;15.3;;
2025-10-14;14:18;Carvajal - Sevillana;3;;;;;0.0;17.7;;
2025-10-14;14:18;Tunal;4;;51.0;1.7;182.0;0.0;;562.0;598.0
2025-10-14;14:18;Centro de Alto Rendimiento;5;;54.0;1.0;190.0;0.0;15.1;564.0;163.0
2025-10-14;14:18;Las Ferias;6;;53.0;1.5;78.0;0.0;16.8;563.0;
2025-10-14;14:18;Guaymaral;8;16.3;54.0;2.3;171.0;0.0;16.8;563.0;150.0
2025-10-14;14:18;Kennedy;9;;76.1;1.3;234.0;0.0;;;0.0
2025-10-14;14:18;Suba;11;;;2.6;121.0;0.0;16.6;;
2025-10-14;14:18;Puente Aranda;13;;59.0;2.8;159.0;0.0;16.5;563.0;440.0
2025-10-14;14:18;MinAmbiente;17;;;-9999.0;-9999.0;0.0;;;
2025-10-14;14:18;San Cristobal;24;;58.0;0.4;177.0;0.0;15.5;;185.0
2025-10-14;14:18;Movil 7ma;26;;49.4;0.1;67.0;0.0;17.2;561.0;133.0
2025-10-14;14:18;Bolivia;27;;67.0;2.3;137.0;0.0;16.1;564.0;257.0
2025-10-14;14:18;Fontibon;30;;52.0;3.6;144.0;0.0;16.9;563.0;
2025-10-14;14:18;Usme;32;;;;;0.0;15.6;561.0;273.0
2025-10-14;14:18;Jazmin;34;;56.0;2.0;155.0;0.0;16.9;563.0;466.0
2025-10-14;14:18;Ciudad Bolivar;37;;;;;0.0;15.1;557.0;386.0
2025-10-14;14:18;Colina;38;;;1.2;171.0;0.0;16.0;563.0;166.0
2025-10-14;14:18;Movil Fontibon;39;;;;;;18.4;564.0;540.0
2025-10-14;15:25;Usaquen;1;;;2.4;146.0;0.0;15.4;;
2025-10-14;15:25;Carvajal - Sevillana;3;;;;;0.0;18.7;;
2025-10-14;15:25;Tunal;4;;47.0;1.8;175.0;0.0;;562.0;334.0
2025-10-14;15:25;Centro de Alto Rendimiento;5;;55.0;1.6;175.0;0.0;14.9;563.0;126.0
2025-10-14;15:25;Las Ferias;6;;51.0;1.8;111.0;0.0;17.3;562.0;
2025-10-14;15:25;Guaymaral;8;16.4;55.0;3.0;179.0;0.0;17.1;562.0;192.0
2025-10-14;15:25;Kennedy;9;;76.1;1.3;234.0;0.0;;;0.0
2025-10-14;15:25;Suba;11;;;2.5;113.0;0.0;17.1;;
2025-10-14;15:25;Puente Aranda;13;;56.0;2.3;132.0;0.0;17.1;562.0;291.0
2025-10-14;15:25;MinAmbiente;17;;;-9999.0;-9999.0;0.0;;;
2025-10-14;15:25;San Cristobal;24;;58.0;0.4;160.0;0.0;15.7;;128.0
2025-10-14;15:25;Movil 7ma;26;;51.2;1.0;188.0;0.0;17.0;561.0;110.0
2025-10-14;15:25;Bolivia;27;;64.0;2.2;162.0;0.0;16.6;563.0;324.0
2025-10-14;15:25;Fontibon;30;;52.0;3.8;142.0;0.0;16.7;563.0;
2025-10-14;15:25;Usme;32;;;;;0.0;16.8;561.0;374.0
2025-10-14;15:25;Jazmin;34;;53.0;1.6;171.0;0.0;17.7;562.0;429.0
2025-10-14;15:25;Ciudad Bolivar;37;;;;;0.0;16.2;556.0;479.0
2025-10-14;15:25;Colina;38;;;1.6;165.0;0.0;16.6;562.0;233.0
2025-10-14;15:25;Movil Fontibon;39;;;;;;17.6;563.0;252.0
2025-10-14;16:19;Usaquen;1;;;1.7;187.0;0.0;17.3;;
2025-10-14;16:19;Carvajal - Sevillana;3;;;;;0.0;18.2;;
2025-10-14;16:19;Tunal;4;;50.0;1.6;171.0;0.0;;561.0;306.0
2025-10-14;16:19;Centro de Alto Rendimiento;5;;52.0;1.5;191.0;0.0;15.9;563.0;303.0
2025-10-14;16:19;Las Ferias;6;;49.0;2.0;118.0;0.0;18.2;562.0;
2025-10-14;16:19;Guaymaral;8;17.7;52.0;2.5;175.0;0.0;18.6;562.0;275.0
2025-10-14;16:19;Kennedy;9;;76.1;1.3;234.0;0.0;;;0.0
2025-10-14;16:19;Suba;11;;;2.3;147.0;0.0;18.2;;
2025-10-14;16:19;Puente Aranda;13;;58.0;2.3;179.0;0.0;17.0;562.0;193.0
2025-10-14;16:19;MinAmbiente;17;;;-9999.0;-9999.0;0.0;;;
2025-10-14;16:19;San Cristobal;24;;56.0;1.3;149.0;0.0;16.2;;146.0
2025-10-14;16:19;Movil 7ma;26;;50.7;1.6;222.0;0.0;17.0;560.0;206.0
2025-10-14;16:19;Bolivia;27;;63.0;2.6;162.0;0.0;17.1;563.0;502.0
2025-10-14;16:19;Fontibon;30;;52.0;3.3;163.0;0.0;17.2;562.0;
2025-10-14;16:19;Usme;32;;;;;0.0;17.0;560.0;275.0
2025-10-14;16:19;Jazmin;34;;55.0;2.0;161.0;0.0;17.4;562.0;396.0
2025-10-14;16:19;Ciudad Bolivar;37;;;;;0.0;15.8;556.0;194.0
2025-10-14;16:19;Colina;38;;;0.7;204.0;0.0;17.1;562.0;201.0
2025-10-14;16:19;Movil Fontibon;39;;;;;;17.7;563.0;267.0
2025-10-14;17:21;Usaquen;1;;;0.9;114.0;0.0;16.0;;
2025-10-14;17:21;Carvajal - Sevillana;3;;;;;0.0;18.8;;
2025-10-14;17:21;Tunal;4;;45.0;1.3;199.0;0.0;;561.0;255.0
2025-10-14;17:21;Centro de Alto Rendimiento;5;;49.0;1.2;247.0;0.0;16.5;563.0;253.0
2025-10-14;17:21;Las Ferias;6;;48.0;1.2;44.0;0.0;18.1;562.0;
2025-10-14;17:21;Guaymaral;8;17.2;53.0;1.3;121.0;0.0;17.8;562.0;61.0
2025-10-14;17:21;Kennedy;9;;76.1;1.3;234.0;0.0;;;0.0
2025-10-14;17:21;Suba;11;;;1.7;112.0;0.0;17.1;;
2025-10-14;17:21;Puente Aranda;13;;55.0;2.5;155.0;0.0;17.2;562.0;198.0
2025-10-14;17:21;MinAmbiente;17;;;-9999.0;-9999.0;0.0;;;
2025-10-14;17:21;San Cristobal;24;;57.0;1.5;130.0;0.0;15.4;;30.0
2025-10-14;17:21;Movil 7ma;26;;46.6;0.1;89.0;0.0;18.0;560.0;79.0
2025-10-14;17:21;Bolivia;27;;61.0;2.1;137.0;0.0;17.4;563.0;265.0
2025-10-14;17:21;Fontibon;30;;51.0;3.1;157.0;0.0;17.2;562.0;
2025-10-14;17:21;Usme;32;;;;;0.0;17.5;560.0;179.0
2025-10-14;17:21;Jazmin;34;;52.0;3.0;140.0;0.0;17.4;562.0;271.0
2025-10-14;17:21;Ciudad Bolivar;37;;;;;0.0;16.0;555.0;196.0
2025-10-14;17:21;Colina;38;;;1.1;159.0;0.0;16.5;562.0;63.0
2025-10-14;17:21;Movil Fontibon;39;;;;;;17.9;563.0;228.0
2025-10-14;18:20;Usaquen;1;;;1.9;111.0;0.0;15.9;;
2025-10-14;18:20;Carvajal - Sevillana;3;;;;;0.0;16.9;;
2025-10-14;18:20;Tunal;4;;51.0;0.9;208.0;0.0;;561.0;24.0
2025-10-14;18:20;Centro de Alto Rendimiento;5;;54.0;1.0;188.0;0.0;14.6;563.0;46.0
2025-10-14;18:20;Las Ferias;6;;50.0;1.9;43.0;0.0;17.2;562.0;
2025-10-14;18:20;Guaymaral;8;16.0;57.0;1.2;101.0;0.0;16.4;562.0;10.0
2025-10-14;18:20;Kennedy;9;;76.1;1.3;234.0;0.0;;;0.0
2025-10-14;18:20;Suba;11;;;2.0;86.0;0.0;15.6;;
2025-10-14;18:20;Puente Aranda;13;;55.0;1.9;153.0;0.0;17.0;562.0;36.0
2025-10-14;18:20;MinAmbiente;17;;;-9999.0;-9999.0;0.0;;;
2025-10-14;18:20;San Cristobal;24;;60.0;2.5;95.0;0.0;14.0;;5.0
2025-10-14;18:20;Movil 7ma;26;;47.6;1.0;159.0;0.0;17.1;560.0;17.0
2025-10-14;18:20;Bolivia;27;;65.0;1.8;102.0;0.0;16.6;563.0;34.0
2025-10-14;18:20;Fontibon;30;;51.0;2.8;153.0;0.0;16.8;562.0;
2025-10-14;18:20;Usme;32;;;;;0.0;16.0;560.0;17.0
2025-10-14;18:20;Jazmin;34;;54.0;2.0;139.0;0.0;16.7;562.0;27.0
2025-10-14;18:20;Ciudad Bolivar;37;;;;;0.0;14.6;556.0;5.0
2025-10-14;18:20;Colina;38;;;1.3;124.0;0.0;15.7;562.0;10.0
2025-10-14;18:20;Movil Fontibon;39;;;;;;17.1;563.0;14.0
2025-10-14;20:49;Usaquen;1;;;1.5;118.0;0.0;13.7;;
2025-10-14;20:49;Carvajal - Sevillana;3;;;;;0.0;14.2;;
2025-10-14;20:49;Tunal;4;;72.0;1.0;179.0;0.0;;562.0;1.0
