Fecha;Hora;name;stationId;Lluvia;Temperatura 8M;Vel Viento;Humedad;Temperatura;Rad Solar;Dir Viento;Presion Baro
2025-10-02;10:23;Centro de Alto Rendimiento;5;0.0;;0.9;50.0;16.2;334.0;204.0;567.0
2025-10-02;10:23;Las Ferias;6;0.0;;;47.0;18.6;;;566.0
2025-10-02;10:23;Guaymaral;8;0.0;18.2;2.0;51.0;19.7;632.0;90.0;566.0
2025-10-02;10:23;Kennedy;9;0.0;;1.1;51.2;;342.0;185.0;
2025-10-02;10:23;Suba;11;0.0;;1.2;;17.4;;44.0;
2025-10-02;10:23;Puente Aranda;13;0.0;;2.4;56.0;16.8;394.0;165.0;566.0
2025-10-02;10:23;MinAmbiente;17;0.0;;-9999.0;;;;-9999.0;
2025-10-02;10:23;San Cristobal;24;0.0;;1.2;56.0;15.4;353.0;77.0;
2025-10-02;10:23;Movil 7ma;26;0.0;;0.3;45.1;18.6;461.0;354.0;564.0
2025-10-02;10:23;Bolivia;27;0.0;;3.1;62.0;17.1;793.0;136.0;567.0
2025-10-02;10:23;Fontibon;30;0.0;;2.6;50.0;17.4;;134.0;567.0
2025-10-02;10:23;Usme;32;0.0;;;;15.4;287.0;;565.0
2025-10-02;10:23;Jazmin;34;0.0;;3.3;52.0;17.1;731.0;134.0;566.0
2025-10-02;10:23;Ciudad Bolivar;37;0.0;;;;15.3;460.0;;560.0
2025-10-02;10:23;Colina;38;0.0;;1.2;;16.8;364.0;167.0;566.0
2025-10-02;10:23;Movil Fontibon;39;;;;;17.7;686.0;;567.0
2025-10-02;11:27;Usaquen;1;0.0;;0.9;;16.9;;43.0;
2025-10-02;11:27;Carvajal - Sevillana;3;0.0;;3.3;;19.3;;260.0;
2025-10-02;11:27;Tunal;4;0.0;;1.5;47.0;;697.0;197.0;565.0
2025-10-02;11:27;Centro de Alto Rendimiento;5;0.0;;1.2;44.0;17.5;511.0;146.0;567.0
2025-10-02;11:27;Las Ferias;6;0.0;;;43.0;19.7;;;566.0
2025-10-02;11:27;Guaymaral;8;0.0;19.4;2.1;40.0;20.5;680.0;133.0;566.0
2025-10-02;11:27;Kennedy;9;0.0;;1.3;45.7;;570.0;192.0;
2025-10-02;11:27;Suba;11;0.0;;2.4;;20.3;;116.0;
2025-10-02;11:27;Puente Aranda;13;0.0;;3.2;49.0;18.0;610.0;177.0;566.0
2025-10-02;11:27;MinAmbiente;17;0.0;;-9999.0;;;;-9999.0;
2025-10-02;11:27;San Cristobal;24;0.0;;1.9;49.0;17.4;649.0;95.0;
2025-10-02;11:27;Movil 7ma;26;0.0;;1.2;39.6;20.1;580.0;111.0;564.0
2025-10-02;11:27;Bolivia;27;0.0;;3.0;56.0;18.0;902.0;137.0;567.0
2025-10-02;11:27;Fontibon;30;0.0;;2.7;43.0;18.9;;105.0;566.0
2025-10-02;11:27;Usme;32;0.0;;;;17.3;731.0;;564.0
2025-10-02;11:27;Jazmin;34;0.0;;3.3;44.0;18.7;1093.0;143.0;566.0
2025-10-02;11:27;Ciudad Bolivar;37;0.0;;;;17.0;807.0;;559.0
2025-10-02;11:27;Colina;38;0.0;;1.2;;18.3;582.0;155.0;566.0
2025-10-02;11:27;Movil Fontibon;39;;;;;18.6;601.0;;567.0
2025-10-02;12:17;Usaquen;1;0.0;;2.3;;18.8;;189.0;
2025-10-02;12:17;Carvajal - Sevillana;3;0.0;;3.7;;21.2;;227.0;
2025-10-02;12:17;Tunal;4;0.0;;2.5;39.0;;822.0;149.0;565.0
2025-10-02;12:17;Centro de Alto Rendimiento;5;0.0;;2.4;40.0;18.7;673.0;129.0;566.0
2025-10-02;12:17;Las Ferias;6;0.0;;;37.0;22.2;;;565.0
2025-10-02;12:17;Guaymaral;8;0.0;20.3;2.5;38.0;21.8;722.0;97.0;565.0
2025-10-02;12:17;Kennedy;9;0.0;;1.8;36.1;;865.0;178.0;
2025-10-02;12:17;Suba;11;0.0;;2.9;;21.6;;116.0;
2025-10-02;12:17;Puente Aranda;13;0.0;;3.6;46.0;19.1;694.0;174.0;565.0
2025-10-02;12:17;MinAmbiente;17;0.0;;-9999.0;;;;-9999.0;
2025-10-02;12:17;San Cristobal;24;0.0;;1.3;45.0;18.6;669.0;153.0;
2025-10-02;12:17;Movil 7ma;26;0.0;;1.1;36.3;21.7;771.0;102.0;563.0
2025-10-02;12:17;Bolivia;27;0.0;;2.7;55.0;18.7;818.0;123.0;566.0
2025-10-02;12:17;Fontibon;30;0.0;;2.6;41.0;19.3;;134.0;566.0
2025-10-02;12:17;Usme;32;0.0;;;;18.5;780.0;;564.0
2025-10-02;12:17;Jazmin;34;0.0;;3.6;42.0;19.5;1152.0;152.0;565.0
2025-10-02;12:17;Ciudad Bolivar;37;0.0;;;;18.2;859.0;;559.0
2025-10-02;12:17;Colina;38;0.0;;1.6;;19.5;674.0;175.0;565.0
2025-10-02;12:17;Movil Fontibon;39;;;;;19.0;424.0;;566.0
2025-10-02;13:32;Usaquen;1;0.0;;2.2;;19.7;;187.0;
2025-10-02;13:32;Carvajal - Sevillana;3;0.0;;3.3;;21.3;;234.0;
2025-10-02;13:32;Tunal;4;0.0;;2.6;36.0;;974.0;153.0;564.0
2025-10-02;13:32;Centro de Alto Rendimiento;5;0.0;;1.7;39.0;18.4;411.0;173.0;566.0
2025-10-02;13:32;Las Ferias;6;0.0;;;37.0;21.7;;;565.0
2025-10-02;13:32;Guaymaral;8;0.0;20.4;3.0;37.0;21.5;680.0;154.0;565.0
2025-10-02;13:32;Kennedy;9;0.0;;1.7;29.7;;1052.0;176.0;
2025-10-02;13:32;Suba;11;0.0;;3.0;;20.9;;103.0;
2025-10-02;13:32;Puente Aranda;13;0.0;;3.6;42.0;19.7;1015.0;174.0;564.0
2025-10-02;13:32;MinAmbiente;17;0.0;;-9999.0;;;;-9999.0;
2025-10-02;13:32;San Cristobal;24;0.0;;2.0;41.0;19.9;809.0;177.0;
2025-10-02;13:32;Movil 7ma;26;0.0;;0.8;33.1;22.4;378.0;214.0;563.0
2025-10-02;13:32;Bolivia;27;0.0;;3.3;51.0;19.3;861.0;128.0;566.0
2025-10-02;13:32;Fontibon;30;0.0;;4.9;39.0;19.5;;172.0;565.0
2025-10-02;13:32;Usme;32;0.0;;;;19.3;894.0;;563.0
2025-10-02;13:32;Jazmin;34;0.0;;3.1;39.0;20.1;1071.0;160.0;565.0
2025-10-02;13:32;Ciudad Bolivar;37;0.0;;;;19.1;904.0;;558.0
2025-10-02;13:32;Colina;38;0.0;;1.6;;19.9;642.0;170.0;565.0
2025-10-02;13:32;Movil Fontibon;39;;;;;20.7;865.0;;565.0
2025-10-02;14:17;Usaquen;1;0.0;;1.7;;19.9;;106.0;
2025-10-02;14:17;Carvajal - Sevillana;3;0.0;;3.9;;22.5;;241.0;
2025-10-02;14:17;Tunal;4;0.0;;2.5;34.0;;932.0;173.0;563.0
2025-10-02;14:17;Centro de Alto Rendimiento;5;0.0;;1.6;39.0;19.0;466.0;193.0;565.0
