Fecha;Hora;name;stationId;PM25;eBC;NOX;PM10;BBP;OZONO;NO2;SO2;CO;NO
2025-12-08;12:24;Fontibon;30;22.0;1.1;7.5;-9999.0;14.1;41.2;6.5;-9999.0;0.18;1.1
2025-12-08;12:24;Usme;32;19.2;;22.6;39.9;;46.6;18.3;2.5;0.31;4.3
2025-12-08;12:24;Jazmin;34;35.2;;19.7;39.3;;31.4;15.0;1.9;0.25;4.7
2025-12-08;12:24;Ciudad Bolivar;37;25.3;1.5;27.1;46.7;9.9;33.5;13.3;1.7;0.34;13.8
2025-12-08;12:24;Colina;38;8.0;;86.3;2.4;;-9999.0;62.8;0.4;0.7;23.5
2025-12-08;12:24;Movil Fontibon;39;14.2;;-9999.0;79.8;;;-9999.0;;-9999.0;-9999.0
2025-12-08;13:38;Usaquen;1;30.1;;-9999.0;35.4;;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0
2025-12-08;13:38;Carvajal - Sevillana;3;16.0;;;38.0;;;;2.1;1.49;
2025-12-08;13:38;Tunal;4;0.0;2.0;11.8;32.0;8.8;38.9;5.8;0.6;-9999.0;6.0
2025-12-08;13:38;Centro de Alto Rendimiento;5;18.3;1.6;6.1;29.2;16.9;-9999.0;5.8;0.5;0.2;0.3
2025-12-08;13:38;Las Ferias;6;22.0;;9.9;18.8;;51.7;8.5;;0.25;1.4
2025-12-08;13:38;Guaymaral;8;19.0;;4.9;32.0;;58.2;4.1;0.9;0.22;0.8
2025-12-08;13:38;Kennedy;9;27.4;1.3;7.5;45.3;11.3;38.8;5.7;1.2;0.42;1.8
2025-12-08;13:38;Suba;11;985.0;;3.4;52.7;;29.7;3.0;1.2;0.31;0.4
2025-12-08;13:38;Puente Aranda;13;35.6;-9999.0;12.7;58.5;0.1;26.8;10.7;1.4;-0.13;2.0
2025-12-08;13:38;MinAmbiente;17;17.0;;14.1;28.0;;45.0;11.0;1.8;0.56;3.1
2025-12-08;13:38;San Cristobal;24;31.0;1.4;-9999.0;27.0;8.2;43.7;-9999.0;1.2;0.39;-9999.0
2025-12-08;13:38;Movil 7ma;26;21.5;;;43.5;;;;;-9999.0;
2025-12-08;13:38;Bolivia;27;16.7;;13.2;47.4;;23.5;11.7;;0.08;1.4
2025-12-08;13:38;Fontibon;30;16.0;0.9;4.9;-9999.0;21.8;36.1;4.4;-9999.0;0.15;0.5
2025-12-08;13:38;Usme;32;18.2;;13.3;29.0;;46.6;11.0;2.0;0.19;2.3
2025-12-08;13:38;Jazmin;34;40.5;;9.0;38.4;;35.3;7.7;1.5;0.15;1.3
2025-12-08;13:38;Ciudad Bolivar;37;20.6;1.6;23.6;34.6;13.1;36.9;11.7;1.7;0.34;11.9
2025-12-08;13:38;Colina;38;8.0;;86.3;2.4;;-9999.0;62.8;0.4;0.7;23.5
2025-12-08;13:38;Movil Fontibon;39;14.2;;-9999.0;79.8;;;-9999.0;;-9999.0;-9999.0
2025-12-08;14:21;Usaquen;1;21.5;;-9999.0;35.4;;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0
2025-12-08;14:21;Carvajal - Sevillana;3;15.0;;;34.0;;;;2.4;0.79;
2025-12-08;14:21;Tunal;4;0.0;1.9;13.3;30.0;6.6;33.8;5.6;0.6;-9999.0;7.8
2025-12-08;14:21;Centro de Alto Rendimiento;5;14.0;1.0;5.3;25.2;19.4;-9999.0;4.7;0.5;0.16;0.6
2025-12-08;14:21;Las Ferias;6;24.0;;12.9;14.0;;26.9;8.7;;0.28;4.2
2025-12-08;14:21;Guaymaral;8;16.0;;2.3;25.0;;41.0;2.3;0.5;0.15;0.0
2025-12-08;14:21;Kennedy;9;26.2;1.2;6.5;32.4;10.6;33.0;4.8;1.1;0.46;1.7
2025-12-08;14:21;Suba;11;985.0;;1.2;40.1;;15.7;0.8;0.9;0.23;0.4
2025-12-08;14:21;Puente Aranda;13;32.2;-9999.0;11.9;46.0;0.1;20.3;9.4;1.4;-0.08;2.5
2025-12-08;14:21;MinAmbiente;17;18.0;;16.4;35.0;;33.7;12.5;1.8;0.58;3.9
2025-12-08;14:21;San Cristobal;24;18.0;1.1;-9999.0;34.0;9.1;37.1;-9999.0;1.2;0.37;-9999.0
2025-12-08;14:21;Movil 7ma;26;21.9;;;33.6;;;;;-9999.0;
2025-12-08;14:21;Bolivia;27;14.3;;12.4;38.0;;16.3;10.4;;-0.04;2.0
2025-12-08;14:21;Fontibon;30;11.0;0.7;5.2;-9999.0;12.3;30.8;4.1;-9999.0;0.16;1.1
2025-12-08;14:21;Usme;32;12.8;;14.5;57.1;;38.5;10.8;1.9;0.21;3.7
2025-12-08;14:21;Jazmin;34;29.4;;8.2;39.0;;28.8;6.5;1.3;0.15;1.7
2025-12-08;14:21;Ciudad Bolivar;37;34.6;2.1;27.6;39.8;15.4;33.0;13.3;1.7;0.36;14.3
2025-12-08;14:21;Colina;38;8.0;;86.3;2.4;;-9999.0;62.8;0.4;0.7;23.5
2025-12-08;14:21;Movil Fontibon;39;14.2;;-9999.0;79.8;;;-9999.0;;-9999.0;-9999.0
2025-12-08;15:28;Usaquen;1;7.3;;-9999.0;35.5;;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0
2025-12-08;15:28;Carvajal - Sevillana;3;20.0;;;22.0;;;;2.1;0.3;
2025-12-08;15:28;Tunal;4;0.0;1.7;13.9;32.0;8.2;25.9;5.9;0.5;-9999.0;8.0
