Fecha;Hora;name;stationId;NOX;BBP;NO2;eBC;CO;PM10;PM25;OZONO;SO2;NO
2025-12-16;11:35;Puente Aranda;13;52.5;0.1;38.4;-9999.0;0.68;91.0;45.0;18.6;1.8;14.0
2025-12-16;11:35;MinAmbiente;17;37.5;;23.4;;0.87;55.0;21.0;28.7;1.5;14.2
2025-12-16;11:35;San Cristobal;24;-9999.0;1.9;-9999.0;4.1;0.92;62.0;45.0;31.0;1.6;-9999.0
2025-12-16;11:35;Movil 7ma;26;;;;;-9999.0;51.8;37.0;;;
2025-12-16;11:35;Bolivia;27;2.7;;2.5;;0.32;67.7;19.4;27.7;;0.1
2025-12-16;11:35;Fontibon;30;25.3;1.8;19.2;4.0;0.57;-9999.0;25.0;38.0;-9999.0;6.1
2025-12-16;11:35;Usme;32;17.3;;13.5;;0.35;31.0;25.2;35.3;2.3;3.8
2025-12-16;11:35;Jazmin;34;60.5;;47.1;;0.93;71.1;39.0;28.9;1.4;13.4
2025-12-16;11:35;Ciudad Bolivar;37;66.5;3.3;45.2;6.1;0.81;83.9;34.5;44.8;1.7;21.3
2025-12-16;11:35;Colina;38;86.3;;62.8;;0.7;2.4;8.0;-9999.0;0.4;23.5
2025-12-16;11:35;Movil Fontibon;39;-9999.0;;-9999.0;;-9999.0;57.2;15.1;;;-9999.0
2025-12-16;12:27;Usaquen;1;-9999.0;;-9999.0;;-9999.0;36.7;9.4;-9999.0;-9999.0;-9999.0
2025-12-16;12:27;Carvajal - Sevillana;3;;;;;0.8;90.0;35.0;;2.7;
2025-12-16;12:27;Tunal;4;11.4;2.8;5.9;2.2;-9999.0;72.0;0.0;34.5;0.7;5.4
2025-12-16;12:27;Centro de Alto Rendimiento;5;17.9;1.5;14.2;4.5;0.48;48.3;18.0;-9999.0;2.3;3.6
2025-12-16;12:27;Las Ferias;6;19.1;;15.3;;0.42;27.7;21.0;41.9;;3.8
2025-12-16;12:27;Guaymaral;8;6.5;;6.0;;0.38;33.0;11.0;36.1;0.1;0.5
2025-12-16;12:27;Kennedy;9;41.1;3.3;33.1;5.3;0.95;40.0;21.0;51.3;0.4;8.0
2025-12-16;12:27;Suba;11;6.7;;5.4;;0.33;64.0;13.0;23.2;1.2;1.2
2025-12-16;12:27;Puente Aranda;13;43.8;0.1;36.6;-9999.0;0.6;81.6;48.4;28.6;1.5;7.1
2025-12-16;12:27;MinAmbiente;17;35.0;;25.7;;0.85;61.0;26.0;44.8;1.4;9.3
2025-12-16;12:27;San Cristobal;24;-9999.0;3.0;-9999.0;2.9;0.74;48.0;37.0;37.5;1.3;-9999.0
2025-12-16;12:27;Movil 7ma;26;;;;;-9999.0;40.0;28.2;;;
2025-12-16;12:27;Bolivia;27;66.6;;17.3;;8.41;61.4;14.8;0.5;;49.3
2025-12-16;12:27;Fontibon;30;24.4;1.2;20.0;4.0;0.56;-9999.0;21.0;46.6;-9999.0;4.4
