Fecha;Hora;name;stationId;Presion Baro;Vel Viento;Lluvia;Humedad;Temperatura;Temperatura 8M;Dir Viento;Rad Solar
2026-01-09;14:24;Fontibon;30;563.0;1.5;0.0;44.0;19.5;;131.0;
2026-01-09;14:24;Usme;32;561.0;;0.0;;20.1;;;785.0
2026-01-09;14:24;Jazmin;34;563.0;3.2;0.0;44.0;20.0;;143.0;554.0
2026-01-09;14:24;Ciudad Bolivar;37;556.0;;0.0;;18.8;;;884.0
2026-01-09;14:24;Colina;38;563.0;1.8;0.0;;16.5;;169.0;93.0
2026-01-09;14:24;Movil Fontibon;39;563.0;;;;20.1;;;447.0
2026-01-09;15:30;Usaquen;1;;4.8;0.0;;18.1;;137.0;
2026-01-09;15:30;Carvajal - Sevillana;3;;1.6;0.0;;11.9;;243.0;
2026-01-09;15:30;Tunal;4;561.0;1.7;0.0;35.0;;;205.0;944.0
2026-01-09;15:30;Centro de Alto Rendimiento;5;563.0;0.9;0.0;39.0;22.2;;164.0;491.0
2026-01-09;15:30;Las Ferias;6;562.0;1.8;0.0;40.0;20.9;;92.0;
2026-01-09;15:30;Guaymaral;8;562.0;2.3;0.0;43.0;21.3;20.1;102.0;404.0
2026-01-09;15:30;Kennedy;9;;2.6;0.0;45.8;;;246.0;813.0
2026-01-09;15:30;Suba;11;;2.2;0.0;;21.4;;84.0;
2026-01-09;15:30;Puente Aranda;13;562.0;1.7;0.0;46.0;20.1;;150.0;442.0
2026-01-09;15:30;MinAmbiente;17;;-9999.0;0.0;;;;-9999.0;
2026-01-09;15:30;San Cristobal;24;;2.9;0.0;42.0;20.8;;130.0;575.0
2026-01-09;15:30;Movil 7ma;26;560.0;2.2;0.0;35.4;23.0;;248.0;675.0
2026-01-09;15:30;Bolivia;27;563.0;2.1;0.0;55.0;19.4;;119.0;169.0
2026-01-09;15:30;Fontibon;30;563.0;2.2;0.0;41.0;20.0;;157.0;
2026-01-09;15:30;Usme;32;560.0;;0.0;;20.8;;;667.0
2026-01-09;15:30;Jazmin;34;562.0;1.5;0.0;42.0;20.6;;193.0;486.0
2026-01-09;15:30;Ciudad Bolivar;37;556.0;;0.0;;19.6;;;653.0
2026-01-09;15:30;Colina;38;563.0;1.8;0.0;;16.5;;169.0;93.0
2026-01-09;15:30;Movil Fontibon;39;563.0;;;;21.0;;;648.0
