Fecha;Hora;name;stationId;Dir Viento;Humedad;Rad Solar;Temperatura 8M;Temperatura;Vel Viento;Presion Baro;Lluvia
2025-11-07;05:26;Usme;32;;;0.0;;10.0;;562.0;0.0
2025-11-07;05:26;Jazmin;34;246.0;97.0;0.0;;10.9;0.5;564.0;0.0
2025-11-07;05:26;Ciudad Bolivar;37;;;0.0;;9.9;;557.0;0.0
2025-11-07;05:26;Colina;38;271.0;;53.0;;14.8;0.9;562.0;0.3
2025-11-07;05:26;Movil Fontibon;39;;;0.0;;9.6;;565.0;
2025-11-07;06:20;Usaquen;1;127.0;;;;9.6;1.0;;0.0
2025-11-07;06:20;Carvajal - Sevillana;3;250.0;;;;10.5;1.5;;0.0
2025-11-07;06:20;Tunal;4;208.0;84.0;4.0;;;0.5;563.0;0.0
2025-11-07;06:20;Centro de Alto Rendimiento;5;66.0;87.0;2.0;;6.9;0.1;565.0;0.1
2025-11-07;06:20;Las Ferias;6;191.0;83.0;;;9.6;0.5;564.0;0.0
2025-11-07;06:20;Guaymaral;8;320.0;85.0;0.0;7.8;7.6;0.4;564.0;0.0
2025-11-07;06:20;Kennedy;9;174.0;46.2;615.0;;;1.7;;0.0
2025-11-07;06:20;Suba;11;55.0;;;;8.2;0.7;;0.0
2025-11-07;06:20;Puente Aranda;13;209.0;96.0;2.0;;11.3;1.1;564.0;0.0
2025-11-07;06:20;MinAmbiente;17;-9999.0;;;;;-9999.0;;0.0
2025-11-07;06:20;San Cristobal;24;117.0;84.0;1.0;;8.4;1.5;;0.0
2025-11-07;06:20;Movil 7ma;26;280.0;71.3;1.0;;10.0;0.5;562.0;0.0
2025-11-07;06:20;Bolivia;27;247.0;91.0;4.0;;9.7;0.4;565.0;0.0
2025-11-07;06:20;Fontibon;30;241.0;90.0;;;9.8;0.7;564.0;0.0
2025-11-07;06:20;Usme;32;;;2.0;;9.5;;562.0;0.0
2025-11-07;06:20;Jazmin;34;243.0;96.0;3.0;;10.6;0.4;564.0;0.0
2025-11-07;06:20;Ciudad Bolivar;37;;;1.0;;10.4;;557.0;0.0
2025-11-07;06:20;Colina;38;271.0;;53.0;;14.8;0.9;562.0;0.3
2025-11-07;06:20;Movil Fontibon;39;;;3.0;;9.6;;565.0;
2025-11-07;07:49;Usaquen;1;10.0;;;;10.0;0.8;;0.0
2025-11-07;07:49;Carvajal - Sevillana;3;258.0;;;;11.5;1.6;;0.0
2025-11-07;07:49;Tunal;4;190.0;81.0;109.0;;;0.8;564.0;0.0
2025-11-07;07:49;Centro de Alto Rendimiento;5;22.0;87.0;63.0;;8.3;0.3;565.0;0.0
