Fecha;Hora;name;stationId;Temperatura;Dir Viento;Humedad;Presion Baro;Temperatura 8M;Lluvia;Rad Solar;Vel Viento
2025-12-22;09:26;Jazmin;34;17.0;301.0;62.0;564.0;;0.0;419.0;1.1
2025-12-22;09:26;Ciudad Bolivar;37;16.8;;;557.0;;0.0;326.0;
2025-12-22;09:26;Colina;38;14.8;271.0;;562.0;;0.3;53.0;0.9
2025-12-22;09:26;Movil Fontibon;39;16.2;;;565.0;;;350.0;
2025-12-22;10:27;Usaquen;1;19.2;148.0;;;;0.0;;1.0
2025-12-22;10:27;Carvajal - Sevillana;3;21.6;359.0;;;;0.0;;1.4
2025-12-22;10:27;Tunal;4;;187.0;64.0;563.0;;0.0;0.0;1.0
2025-12-22;10:27;Centro de Alto Rendimiento;5;20.2;336.0;52.0;565.0;;0.0;412.0;2.2
2025-12-22;10:27;Las Ferias;6;20.4;343.0;48.0;564.0;;0.0;;1.1
2025-12-22;10:27;Guaymaral;8;19.6;339.0;54.0;564.0;17.9;0.0;407.0;2.2
2025-12-22;10:27;Kennedy;9;;324.0;56.1;;;0.0;332.0;2.0
2025-12-22;10:27;Suba;11;18.0;345.0;;;;0.0;;1.8
2025-12-22;10:27;Puente Aranda;13;17.9;354.0;62.0;564.0;;0.0;419.0;1.7
2025-12-22;10:27;MinAmbiente;17;;-9999.0;;;;0.0;;-9999.0
2025-12-22;10:27;San Cristobal;24;18.1;85.0;44.0;;;0.0;361.0;1.6
2025-12-22;10:27;Movil 7ma;26;19.7;342.0;44.8;562.0;;0.0;356.0;0.2
2025-12-22;10:27;Bolivia;27;16.9;356.0;69.0;565.0;;0.0;661.0;1.5
2025-12-22;10:27;Fontibon;30;17.9;17.0;56.0;564.0;;0.0;;2.6
2025-12-22;10:27;Usme;32;18.9;;;562.0;;0.0;480.0;
2025-12-22;10:27;Jazmin;34;18.5;291.0;47.0;564.0;;0.0;492.0;1.3
2025-12-22;10:27;Ciudad Bolivar;37;17.6;;;557.0;;0.0;638.0;
2025-12-22;10:27;Colina;38;14.8;271.0;;562.0;;0.3;53.0;0.9
2025-12-22;10:27;Movil Fontibon;39;17.8;;;565.0;;;709.0;
2025-12-22;11:32;Usaquen;1;19.5;229.0;;;;0.0;;1.2
2025-12-22;11:32;Carvajal - Sevillana;3;23.3;49.0;;;;0.0;;2.9
2025-12-22;11:32;Tunal;4;;187.0;64.0;563.0;;0.0;0.0;1.0
2025-12-22;11:32;Centro de Alto Rendimiento;5;20.4;36.0;49.0;564.0;;0.0;393.0;2.2
2025-12-22;11:32;Las Ferias;6;21.2;352.0;44.0;563.0;;0.0;;1.0
2025-12-22;11:32;Guaymaral;8;19.3;333.0;50.0;563.0;18.5;0.0;201.0;1.9
2025-12-22;11:32;Kennedy;9;;310.0;53.4;;;0.0;637.0;2.2
2025-12-22;11:32;Suba;11;21.1;12.0;;;;0.0;;1.1
2025-12-22;11:32;Puente Aranda;13;18.6;271.0;56.0;563.0;;0.0;228.0;1.7
2025-12-22;11:32;MinAmbiente;17;;-9999.0;;;;0.0;;-9999.0
2025-12-22;11:32;San Cristobal;24;19.5;119.0;42.0;;;0.0;386.0;0.7
2025-12-22;11:32;Movil 7ma;26;21.4;131.0;41.2;562.0;;0.0;401.0;0.3
2025-12-22;11:32;Bolivia;27;18.8;330.0;61.0;564.0;;0.0;868.0;1.2
2025-12-22;11:32;Fontibon;30;18.7;314.0;50.0;564.0;;0.0;;1.0
2025-12-22;11:32;Usme;32;19.5;;;562.0;;0.0;551.0;
